Identifier,County,Precinct Name,Location Name,Address,City,Zip,Auth 1,Auth 2,,,,,,,,
1,Adair,1NW ADAIR,ADAIR CITY HALL,320 AUDUBON ST,ADAIR,50002,zyfkKenF,F5q9o5yu,0,0,0,0,0,0,0,0
2,Adair,2NE STUART,STUART COMMUNITY CARE CENTER,325 SW 7TH ST,STUART,50250,LcaoBXz5,NtwkWINw,0,0,0,0,0,0,0,0
3,Adair,3SW FONTANELLE,FONTANELLE COMMUNITY CENTER,318 WASHINGTON ST,FONTANELLE,50846,chB7AMSj,SDq2h9N0,0,0,0,0,0,0,0,0
4,Adair,4SE ORIENT,ORIENT-MACKSBURG SCHOOL CAFETERIA,201 SCHOOL ST,ORIENT,50858,wxIue5xg,mRAXM2fq,0,0,0,0,0,0,0,0
5,Adair,5GF GREENFIELD,NODAWAY VALLEY HIGH SCHOOL ,410 NW 2ND ST,GREENFIELD,50849,1kn1ww40,xK1BSpvd,0,0,0,0,0,0,0,0
6,Adams,Adams 1,"SOUTHWEST VALLEY HIGH SCHOOL, CAFETERIA",904 8TH ST,CORNING,50841,eaScvKcI,fIyhgY22,0,0,0,0,0,0,0,0
7,Adams,Adams 2,"SOUTHWEST VALLEY HIGH SCHOOL, AUDITORIUM",904 8TH ST,CORNING,50841,Oz9gOm9T,EAFcEOPx,0,0,0,0,0,0,0,0
8,Adams,Adams 3,REDEEMER LUTHERAN CHURCH,800 17TH ST,CORNING,50841,6t87tzEl,X2AA7v2N,0,0,0,0,0,0,0,0
9,Adams,Adams 4,NODAWAY COMMUNITY BUILDING,300 7TH AVE,NODAWAY,50857,TCdcbWBO,01IIudPy,0,0,0,0,0,0,0,0
10,Adams,Adams 5,"EAGLES NEST, LUNCHROOM",813 1ST ST,PRESCOTT,50859,dVErTl77,EwFyyL86,0,0,0,0,0,0,0,0
11,Allamakee,Pct 01 - WL/HV,WINGS SUPPER CLUB,606 WATERLOO CREEK DR,DORCHESTER,52140,HbCPOqLV,c6nXq1FU,0,0,0,0,0,0,0,0
12,Allamakee,Pct 02 - FC/JF/LL/MK/UP,"WAUKON MIDDLE SCHOOL, CAFETERIA ",1059 3RD AVE NW,WAUKON,52172,9wSsQFnH,kOBW5MdJ,0,0,0,0,0,0,0,0
13,Allamakee,Pct 03 - PO/FK,POSTVILLE FINE ARTS CENTER A,314 W POST ST,POSTVILLE,52162,IBeRYEn3,Yb5vecq5,0,0,0,0,0,0,0,0
14,Allamakee,Pct 04 - PV City,POSTVILLE FINE ARTS CENTER B,314 W POST ST,POSTVILLE,52162,JlWSc3YK,0163s4gi,0,0,0,0,0,0,0,0
15,Allamakee,Pct 05 - LT/PC/WV City,"WATERVILLE COMMUNITY CENTER, CAFETERIA",115 MAIN ST,WATERVILLE,52170,1dIbjXn9,0bbqJSOt,0,0,0,0,0,0,0,0
16,Allamakee,Pct 06 - FV/TL/HF City,ETHEL ROBINSON MEEHAN COMMUNITY CENTER,234 N 4TH ST,HARPERS FERRY,52146,A9JcxSvy,pnLfhZh0,0,0,0,0,0,0,0,0
17,Allamakee,Pct 07 - CN/LF/LS/LS City,TJ HUNTER'S BANQUET HALL,377 MAIN ST,LANSING,52151,2QBhKSe2,r6xva64N,0,0,0,0,0,0,0,0
18,Allamakee,Pct 08 - IA/UC/NA City,NEW ALBIN COMMUNITY CENTER,137 RAILROAD AVE,NEW ALBIN,52160,QOyVfrhe,ketBFtGc,0,0,0,0,0,0,0,0
19,Allamakee,Pct 09 - Waukon 1,"EAST ELEMENTARY SCHOOL, GYM",107 6TH ST NW,WAUKON,52172,1oRF5DU5,Jr59v1Uk,0,0,0,0,0,0,0,0
20,Allamakee,Pct 10 - Waukon 2,"EAST ELEMENTARY SCHOOL, CAFETERIA",107 6TH ST NW,WAUKON,52172,T2RTaKJ1,rm6sAXlZ,0,0,0,0,0,0,0,0
21,Allamakee,Pct 11 - Waukon 3,"WEST ELEMENTARY SCHOOL, GYM ",953 3RD AVE NW,WAUKON,52172,lXvxKqPt,5kBtRway,0,0,0,0,0,0,0,0
22,Appanoose,Bellair/Lincoln,NUMA CITY HALL,104 WALNUT ST E,NUMA,52544,H6VAjcCO,Hi51wJlu,0,0,0,0,0,0,0,0
23,Appanoose,Caldwell Township,EXLINE COMMUNITY BUILDING,112 W MAIN ST,EXLINE,52555,gXsuCvRc,h5Qob6z7,0,0,0,0,0,0,0,0
24,Appanoose,Centerville Ward 1,CENTERVILLE HIGH SCHOOL,600 CHS DR,CENTERVILLE,52544,C479pwRF,gujwAbjp,0,0,0,0,0,0,0,0
25,Appanoose,Centerville Ward 2,CENTERVILLE HIGH SCHOOL AUDITORIUM,600 CHS DR,CENTERVILLE ,52544,EDVV6fKb,XucZTE2F,0,0,0,0,0,0,0,0
26,Appanoose,Centerville Ward 3,LAKEVIEW ELEMENTARY CAFETERIA,1800 S 11TH ST,CENTERVILLE,52544,BB7ZpeGx,Lq9q2fCv,0,0,0,0,0,0,0,0
27,Appanoose,Johns/Independence,PLANO CITY HALL,311 3RD ST,PLANO,52581,lkcLEaVz,o6WtjxUu,0,0,0,0,0,0,0,0
28,Appanoose,Pleasant/Franklin,CINCINNATI COMMUNITY CENTER,101 ALPINE ST.,CINCINNATI ,52549,RwzFXBow,Nfc0Wec9,0,0,0,0,0,0,0,0
29,Appanoose,Taylor/Chariton,MORAVIA COMMUNITY CENTER,114 E CHARITON ST,MORAVIA,52571,gEf28mXN,wgGynXHc,0,0,0,0,0,0,0,0
30,Appanoose,Union / Udell Township,SHOOP HOME,13792 286TH AVE.,MORAVIA,52571,JNpq4yVf,KfoQUrR7,0,0,0,0,0,0,0,0
31,Appanoose,Vermillion/Douglas/Sharon,CENTERVILLE HIGH SCHOOL CHOIR ROOM,600 CHS DR,CENTERVILLE,52544,Ewz4FcVF,KzQenYkB,0,0,0,0,0,0,0,0
32,Appanoose,Walnut,MYSTIC AMERICAN LEGION POST,300 WEST MAIN ST,MYSTIC,52574,V9612ux5,EidvwZUk,0,0,0,0,0,0,0,0
33,Appanoose,Washington/Wells,CROSSLINE CENTER,111 S MAIN ST,MOULTON,52572,ZnGbJmeu,aOwEYCf9,0,0,0,0,0,0,0,0
34,Audubon,Precinct 1,AUDUBON ELEMENTARY SCHOOL,600 TRACY ST,AUDUBON,50025,zmAV72e5,Uzsw3BNV,0,0,0,0,0,0,0,0
